# id	layer	law	spec_kind	spec_path	spec_name	strength	test_path	test_name	gate
# The llattice invariant registry. llattice has NO resource ABI (its values never
# cross the vt boundary); these are the algebra laws of the Lattice trait.
# test_path/test_name '-' marks a formal-only row. Checked by
#   scripts/check-lattice-invariants.py (invoked from proofs/verify.sh).
LATT-LAW-1	lattice	join and meet are idempotent	coq	proofs/coq/LatticeLaws.v	zjoin_idempotent	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAW-2	lattice	join and meet are commutative	coq	proofs/coq/LatticeLaws.v	zjoin_comm	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAW-3	lattice	join and meet are associative	coq	proofs/coq/LatticeLaws.v	zjoin_assoc	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAW-4	lattice	the absorption laws hold	coq	proofs/coq/LatticeLaws.v	zabsorb_join_meet	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAW-5	lattice	the order and operation views coincide (a<=b iff join a b = b)	coq	proofs/coq/LatticeLaws.v	zjoin_order_bridge	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-FLOAT-1	float-caveat	raw f32/f64 cannot implement the structural lattice contract because NaN breaks equality	coq	proofs/coq/FloatCaveat.v	nan_breaks_idempotency	rocq-unbounded	tests/lattice_laws.rs	raw_nan_breaks_partial_equality	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAYER-1	join-semilattice	idempotent commutative associative join induces a partial order	coq	proofs/coq/LayeredTraits.v	join_leq_is_partial_order	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAYER-2	join-semilattice	join_assign returns join and its flag is true exactly on structural change	coq	proofs/coq/LayeredTraits.v	join_assign_changed_iff	rocq-unbounded	tests/lattice_laws.rs	join_assign_contract_is_exact	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAYER-3	bottom	context-free join identity is least in the induced order	coq	proofs/coq/LayeredTraits.v	bottom_is_least	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAYER-4	lattice	two semilattice operations do not imply absorption	coq	proofs/coq/LayeredTraits.v	two_semilattices_need_not_form_lattice	rocq-unbounded	tests/lattice_laws.rs	law_harness_rejects_nonabsorbing_operations	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAYER-5	option-lift	Option preserves lattice absorption and adjoins None as bottom	coq	proofs/coq/LayeredTraits.v	option_absorb_join_meet	rocq-unbounded	tests/lattice_laws.rs	laws_hold_over_option_i64	proofs/verify.sh + cargo test --test lattice_laws
LATT-LAYER-6	sequence-counterexample	left-biased raw sequence union is not structurally commutative	coq	proofs/coq/LayeredTraits.v	raw_sequence_join_is_not_commutative	rocq-unbounded	-	-	proofs/verify.sh (coqc + proof-check)
LATT-LAYER-7	stack-safety	input-sized collection work refines an explicit machine whose pending measure strictly decreases on every step	coq	proofs/coq/LayeredTraits.v	explicit_worklist_progress	rocq-unbounded	tests/lattice_laws.rs	hashset_operations_do_not_use_input_depth_native_stack	proofs/verify.sh + cargo test --test lattice_laws
